"date","PM2.5","PM10","CO","NO2","SO2","O3"
2016010100,1,0.223270197139544,0.453209590100541,0.493711821775063,0.116179232626778,0.016489988221437
2016010101,0,0.211132586006958,0.453209590100541,0.475026949335249,0.12798497451033,0.017432273262662
2016010110,0,0.12822445561139,0.28692962103635,0.386633129716134,0.110812986316072,0.0127208480565371
2016010111,0,0.13151471643934,0.2861562258314,0.414301113905857,0.12798497451033,0.0181389870435807
2016010112,0,0.146733668341709,0.279195668986852,0.440172475745599,0.143278776495841,0.0259128386336867
2016010113,0,0.167016902695294,0.280742459396752,0.48077614085519,0.156157767641535,0.0327444051825676
2016010114,0,0.189036089538602,0.296210363495746,0.545454545454544,0.170378320364905,0.0365135453474677
2016010115,0,0.20780827212988,0.317865429234339,0.616600790513832,0.195867990340757,0.0285041224970552
2016010116,0,0.223869346733668,0.331786542923434,0.649852124160427,0.176549503622217,0.022379269729093
2016010117,1,0.23401623502126,0.358855375096674,0.676607977003235,0.157767641534747,0.0124852767962309
2016010118,1,0.281550610193826,0.406032482598608,0.690621631333094,0.147303461228871,0.0122497055359246
2016010119,1,0.316295764536971,0.476411446249034,0.716492993172834,0.149181647437618,0.0138987043580683
2016010102,0,0.203942790877464,0.440061871616396,0.468918433345313,0.131473034612289,0.0157832744405183
2016010120,1,0.321177315147165,0.531322505800464,0.70391663672296,0.1467668365978,0.014605418138987
2016010121,1,0.343409354464631,0.575406032482599,0.723679482572765,0.156157767641535,0.0143698468786808
2016010122,1,0.334856098675194,0.585460170146945,0.714696370822851,0.136034343976389,0.0143698468786808
2016010123,1,0.334856098675194,0.632637277648879,0.704994610132951,0.133351220821036,0.0157832744405183
2016010103,0,0.188693467336683,0.393658159319412,0.45706072583543,0.126106788301583,0.014605418138987
2016010104,0,0.162814070351759,0.37122969837587,0.443406395975566,0.111886235578213,0.0170396544954849
2016010105,0,0.145226130653266,0.34338747099768,0.417894358605821,0.101422055272337,0.0122497055359246
2016010106,0,0.117587939698492,0.34184068058778,0.422206252245778,0.0933726858062785,0.0108362779740872
2016010107,0,0.121524288107203,0.350348027842227,0.409629895795904,0.0866648779178964,0.00965842167255594
2016010108,0,0.125125628140704,0.344934261407579,0.396694214876033,0.0821035685537966,0.0103651354534747
2016010109,0,0.130485762144053,0.31245166279969,0.386633129716134,0.0853233163402202,0.0110718492343934
2016010200,1,0.353668341708543,0.684454756380511,0.688106360043119,0.161255701636705,0.0200235571260306
2016010201,1,0.35066240292371,0.703789636504254,0.662234998203378,0.169841695733834,0.0193168433451119
2016010210,1,0.259914959412447,0.668986852281515,0.589651455264106,0.167695197209552,0.0153121319199057
2016010211,1,0.247810480976311,0.546790409899459,0.609414301113906,0.197746176549504,0.016489988221437
2016010212,1,0.249078726968174,0.493426140757927,0.644628099173554,0.189696807083445,0.0216725559481743
2016010213,1,0.257889447236181,0.460170146945089,0.691699604743084,0.183257311510599,0.0376914016489987
2016010214,1,0.241206030150754,0.4292343387471,0.722960833632773,0.174134692782399,0.0555948174322734
2016010215,1,0.248815506101939,0.425367362722351,0.752066115702481,0.162328950898846,0.0461719670200235
2016010216,1,0.269472361809045,0.431554524361949,0.776140855192238,0.157767641534747,0.0268551236749115
2016010217,1,0.275742348104157,0.449342614075793,0.790873158462094,0.145425275020124,0.016489988221437
2016010218,1,0.307453936348409,0.496519721577726,0.796263025512037,0.128521599141401,0.0127208480565371
2016010219,1,0.320301507537688,0.525135344160867,0.746676248652532,0.129863160719077,0.014605418138987
2016010202,1,0.344149318018664,0.640371229698376,0.61085159899389,0.137375905554065,0.0167255594817432
2016010220,1,0.37571189279732,0.611755607115236,0.781530722242187,0.145425275020124,0.017432273262662
2016010221,1,0.473985311171241,0.699149265274555,0.861660079051383,0.139254091762812,0.0171967020023557
2016010222,1,0.482412060301508,0.689095127610209,0.864175350341358,0.122082103568554,0.0150765606595995
2016010223,1,0.518481295365718,0.702242846094354,0.836148041681641,0.112959484840354,0.0150765606595995
2016010203,1,0.296482412060302,0.553750966744006,0.54904779015451,0.128789911456936,0.0148409893992933
2016010204,1,0.256281407035176,0.477184841453983,0.488321954725115,0.106788301583043,0.0129171574401256
2016010205,1,0.258961474036851,0.462490332559938,0.449874236435502,0.0947142473839551,0.0129564193168433
2016010206,1,0.266834170854271,0.491879350348028,0.459216672655408,0.0955191843305609,0.0129564193168433
